movie_title,movie_imdb_link,title_year,color,genres,plot_keywords,duration,language,country,content_rating,num_critic_for_reviews,num_user_for_reviews,director_name,imdb_score,budget,gross,movie_facebook_likes,director_facebook_likes,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,num_voted_users,facenumber_in_poster,aspect_ratio
A Dangerous MethodÂ ,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,2011,Color,Biography|Drama|Thriller,carl jung|patient|psychoanalysis|russian|sigmund freud,99,English,UK,R,345,190,David Cronenberg,6.5,15000000,5702083,36000,0,Michael Fassbender,Viggo Mortensen,Sarah Gadon,13000,10000,691,23755,80617,3,1.85
A Fine StepÂ ,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,2014,,Drama,,111,,USA,PG,1,1,Jonathan Meyers,5.3,1000000,,212,0,Justin Baldoni,Luke Perry,Leonor Varela,657,608,426,2677,207,0,
A Good Day to Die HardÂ ,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,2013,Color,Action|Thriller,bomb|cia|courthouse|escape|russian,101,English,USA,R,412,503,John Moore,5.3,92000000,67344392,66000,212,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,13000,787,476,15481,165618,2,1.85
A Haunted House 2Â ,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1,2014,Color,Comedy|Fantasy,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,86,English,USA,R,69,48,Michael Tiddes,4.7,4000000,17314483,0,89,Ashley Rickards,Essence Atkins,Gabriel Iglesias,986,713,511,4073,14621,2,1.85
A Haunted HouseÂ ,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,2013,Color,Comedy|Fantasy,hamburger|parody|priest|psychic|woman in a bikini,86,English,USA,R,129,107,Michael Tiddes,5.1,2500000,40041683,0,89,Essence Atkins,Alanna Ubach,J.B. Smoove,713,584,555,3421,34620,6,1.85
A Lego BrickumentaryÂ ,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,2014,Color,Documentary,artist|denmark|lego|toy|toy company,93,English,Denmark,G,43,11,Kief Davidson,6.8,1000000,100240,0,0,G.W. Krauss,Brian Whitaker,Jason Bateman,20,8,0,28,1220,0,
A Lonely Place to DieÂ ,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,2011,Color,Action|Adventure|Crime|Thriller,kidnapper|mountaineering|scotland|scottish highlands|sniper,99,English,UK,R,135,97,Julian Gilbey,6.3,4000000,,0,7,Ed Speleers,Eamonn Walker,Sean Harris,762,706,641,2631,22220,1,2.35
A Madea ChristmasÂ ,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,2013,Color,Comedy|Drama,christmas|holiday|madea series|rural setting|stubbornness,100,English,USA,PG-13,24,27,Tyler Perry,4.7,25000000,52528330,0,0,Alicia Witt,Tika Sumpter,Larry the Cable Guy,975,521,400,3202,4265,0,1.85
A Million Ways to Die in the WestÂ ,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,2014,Color,Comedy|Western,dancing sheep|fetish|musical scene|racial humor|snake poison,136,English,USA,R,303,416,Seth MacFarlane,6.1,40000000,42615685,24000,3000,Liam Neeson,Charlize Theron,Seth MacFarlane,14000,9000,3000,28927,136093,3,2.35
A Monster in ParisÂ ,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,2011,Color,Adventure|Animation|Comedy|Fantasy|Music|Romance,belle epoque|city name in title|monster|paris france,90,French,France,PG,63,40,Bibo Bergeron,6.8,25000000,,0,10,Adam Goldberg,Bob Balaban,FranÃ§ois Cluzet,1000,559,541,3243,15790,0,1.85
A Most Violent YearÂ ,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,2014,Color,Action|Crime|Drama|Thriller,american dream|immigrant|new york city|oil|violence,125,English,USA,R,350,180,J.C. Chandor,7,20000000,5749134,0,78,David Oyelowo,Ashley Williams,Albert Brooks,1000,969,745,3979,45799,0,2.35
A Most Wanted ManÂ ,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,2014,Color,Crime|Drama|Thriller,intelligence|intelligence agency|secret service|surveillance camera|war on terror,122,English,UK,R,291,158,Anton Corbijn,6.8,15000000,17237244,13000,210,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,22000,164,123,22574,57210,3,2.35
A Perfect PlanÂ ,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,2012,Color,Comedy|Romance,curse|divorce|marriage|tourism|travel,104,French,France,,58,11,Pascal Chaumeil,6.3,17000000,,853,8,Dany Boon,Malonn LÃ©vana,Alice Pol,172,20,8,210,5525,2,2.35
A Plague So PleasantÂ ,http://www.imdb.com/title/tt2107644/?ref_=fn_tt_tt_1,2013,Color,Drama|Horror|Thriller,,76,English,USA,,13,3,Benjamin Roberds,6.3,1400,,16,0,Eva Boehnke,Maxwell Moody,David Chandler,0,0,0,0,38,0,
A SeparationÂ ,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,2011,Color,Drama|Mystery,alzheimer's disease|caregiver|divorce|iran|iranian,123,Persian,Iran,PG-13,354,264,Asghar Farhadi,8.4,500000,7098492,48000,0,Shahab Hosseini,Leila Hatami,Peyman Moaadi,786,712,620,2501,151812,2,1.85
A Tale of Three CitiesÂ ,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,2015,Color,Drama,,130,Chinese,China,,6,6,Mabel Cheung,6.2,12000000,,4,3,Wei Tang,Ching Wan Lau,Hailu Qin,215,27,2,244,117,1,2.35
A Thousand WordsÂ ,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,2012,Color,Comedy|Drama,box office flop|buddhist|liar|literary agent|magical tree,91,English,USA,PG-13,70,93,Brian Robbins,5.9,40000000,18438149,0,48,John Gatins,Lou Saliba,Greg Collins,61,46,39,222,30842,8,2.35
A Touch of FrostÂ             ,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,,Color,Crime|Drama|Mystery,cult tv|death|detective inspector|four word title|internal affairs,105,English,UK,,14,33,,7.8,,,361,,David Jason,Bruce Alexander,John Lyons,325,7,5,344,4438,1,1.33
A True StoryÂ ,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,2013,Color,Comedy,ellipsis in title|long title|period in title|punctuation in title|title ends with period,96,English,USA,,,4,Malcolm Goodwin,5.5,45000,,72,117,Katrina Bowden,Jon Gries,Kelen Coleman,948,482,281,2058,181,5,2.35
A Turtle's Tale: Sammy's AdventuresÂ ,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,2010,Color,Adventure|Animation|Family,apostrophe in title|character name in title|punctuation in title|sea turtle,88,English,France,PG,56,22,Ben Stassen,6.1,,,0,4,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,783,749,602,3874,5385,2,2.35
A Very Harold & Kumar 3D ChristmasÂ ,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,2011,Color,Adventure|Comedy,christmas|christmas tree|fire|new york city|stoner,90,English,USA,R,161,93,Todd Strauss-Schulson,6.3,19000000,35033759,21000,12,Patton Oswalt,Thomas Lennon,Paula GarcÃ©s,786,651,587,2462,55008,4,2.35
A Walk Among the TombstonesÂ ,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,2014,Color,Crime|Drama|Mystery|Thriller,drug dealer|ex cop|murder of wife|revenge|violence,114,English,USA,R,253,207,Scott Frank,6.5,28000000,25977365,15000,71,Liam Neeson,Boyd Holbrook,David Harbour,14000,439,313,15428,87950,0,2.35
A Warrior's TailÂ ,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1,2015,Color,Adventure|Animation|Fantasy,battle|creature|hyena|monkey|village,85,Russian,Russia,,5,7,Maksim Fadeev,4.1,30000000,,161,0,Konstantin Khabenskiy,Fedor Bondarchuk,Sergey Garmash,114,35,21,229,393,1,
AbandonedÂ ,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,2015,Color,Drama,boat|one word title|sea|storm|survivor,86,English,New Zealand,,,6,John Laing,6.3,,,213,0,Siobhan Marshall,Peter Feeney,Rachel Nash,42,40,3,90,333,5,
ABCD (Any Body Can Dance)Â ,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,2013,Color,Drama|Musical,,160,Hindi,India,Not Rated,15,38,Remo,6.4,,95236,1000,168,Lauren Gottlieb,Remo,Prabhudheva,733,168,71,1182,5018,3,
AbductionÂ ,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,2011,Color,Action|Mystery|Thriller,assassin|high school|on the run|teenager|website,106,English,USA,PG-13,180,173,John Singleton,5,35000000,28064226,13000,309,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,327,73,63,561,65044,1,2.35
About Last NightÂ ,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,2014,Color,Comedy|Romance,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,100,English,USA,R,90,42,Steve Pink,6.1,12500000,48637684,0,38,Joe Lo Truglio,Regina Hall,Bryan Callen,833,807,460,2800,16979,4,2.35
About TimeÂ ,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,2013,Color,Drama|Fantasy|Romance,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding,123,English,UK,R,274,391,Richard Curtis,7.8,12000000,15294553,105000,628,Tom Hughes,Tom Hollander,Lindsay Duncan,565,555,171,1595,202341,1,2.35
Abraham Lincoln: Vampire HunterÂ ,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,2012,Color,Action|Fantasy|Horror,chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,105,English,USA,R,393,348,Timur Bekmambetov,5.9,69000000,37516013,98000,335,Rufus Sewell,Dominic Cooper,Benjamin Walker,3000,3000,911,8281,128629,0,2.35
AbsentiaÂ ,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,2011,Color,Drama|Horror|Mystery,anticipate|dead in absentia|foetus|tunnel|unreliable narration,87,English,USA,R,125,136,Mike Flanagan,5.8,70000,,3000,59,Justin Gordon,Courtney Bell,Erin Cipolletti,35,28,9,97,13065,0,1.78
Accidental LoveÂ ,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,2015,Color,Comedy|Romance,health insurance|long delayed release|nail in the head|waitress|washington d.c.,100,English,USA,PG-13,56,28,David O. Russell,4,26000000,,0,737,Jake Gyllenhaal,Kirstie Alley,Beverly D'Angelo,15000,980,816,19068,5006,5,1.85
Act of ValorÂ ,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1,2012,Color,Action|Adventure|Drama|Thriller|War,mission|navy seal|terrorist|torture|valor,110,English,USA,R,216,349,Mike McCoy,6.5,12000000,70011073,15000,16,Alex Veadov,Jason Cottle,Rorke Denver,93,17,11,146,57996,0,2.35
AddictedÂ ,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,2014,Color,Drama|Thriller,adultery|attraction|lust|obsession|temptation,106,Spanish,USA,R,9,33,Bille Woodruff,5.2,5000000,17382982,0,23,Boris Kodjoe,Cameron Mills,Sharon Leal,1000,694,467,2840,5975,0,1.85
AdmissionÂ ,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,2013,Color,Comedy|Drama|Romance,adoption|female protagonist|princeton university|wedding|working women,107,English,USA,PG-13,150,87,Paul Weitz,5.7,13000000,18004225,5000,80,Tina Fey,Sarita Choudhury,Christopher Evan Welch,2000,257,252,3004,28573,2,2.35
AdoreÂ ,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,2013,Color,Drama|Romance,beach|friend|friendship|happiness|neighbor,112,English,Australia,R,141,87,Anne Fontaine,6.2,16000000,317125,0,105,Robin Wright,Naomi Watts,Ben Mendelsohn,18000,6000,748,25269,23334,0,2.35
AdulterersÂ ,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,2015,Color,Crime|Drama|Thriller,cheating husband|female nudity|male nudity|male rear nudity|revenge,91,English,USA,,8,1,H.M. Coakley,4.9,750000,,158,0,Mehcad Brooks,Steffinnie Phrommany,Danielle Savre,696,320,137,1210,514,3,2.35
After EarthÂ ,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,2013,Color,Action|Adventure|Sci-Fi,box office flop|father son team|fear|race against time|real life father and son playing father and son,100,English,USA,PG-13,349,744,M. Night Shyamalan,4.9,130000000,60522097,37000,0,Will Smith,ZoÃ« Kravitz,Glenn Morshower,10000,943,894,14168,158720,0,2.35
AfterÂ ,http://www.imdb.com/title/tt1799508/?ref_=fn_tt_tt_1,2012,Color,Fantasy|Horror|Mystery|Thriller,coma|crash,90,English,USA,PG-13,34,27,Ryan Smith,5.4,650000,,1000,4,Sandra Ellis Lafferty,Madison Lintz,Karolina Wydra,523,385,258,1553,3699,0,2.35
Against the WildÂ ,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,2013,Color,Adventure|Family,cave|salmon,90,English,Canada,PG,11,9,Richard Boddington,4.7,2000000,,326,15,Natasha Henstridge,CJ Adams,Erin Pitt,900,450,120,1724,840,3,
AirliftÂ ,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,2016,Color,Action|Drama|History|Thriller|War,1990s|businessman|evacuation|historical fiction|kuwait,130,Hindi,India,,39,178,Raja Menon,8.5,4400000,,10000,6,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,85,26,12,151,30977,1,2.35
Albert NobbsÂ ,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,2011,Color,Drama,19th century|hotel|painter|waiter|woman pretending to be a man,113,English,UK,R,222,98,Rodrigo GarcÃ­a,6.7,8000000,3014541,0,127,Mia Wasikowska,Michael McElhatton,Mark Williams,3000,415,373,4370,19616,3,2.35
Alex CrossÂ ,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,2012,Color,Action|Crime|Mystery|Thriller,assassin|detective|partner|police|serial killer,101,English,USA,PG-13,211,151,Rob Cohen,5.1,35000000,25863915,11000,357,Cicely Tyson,Chad Lindberg,Carmen Ejogo,907,445,374,2471,28257,0,2.35
"Alexander and the Terrible, Horrible, No Good, Very Bad DayÂ ",http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,2014,Color,Comedy|Family,bad day|based on book|birthday|job interview|long title,81,English,USA,PG,119,85,Miguel Arteta,6.2,28000000,66950483,12000,44,Bella Thorne,Steve Carell,Jennifer Garner,35000,7000,3000,47677,29738,6,2.39
Alice in WonderlandÂ ,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,2010,Color,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,108,English,USA,PG,451,736,Tim Burton,6.5,200000000,334185206,24000,13000,Johnny Depp,Alan Rickman,Anne Hathaway,40000,25000,11000,79957,306320,0,1.85
Alice in WonderlandÂ ,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,2010,Color,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,108,English,USA,PG,451,736,Tim Burton,6.5,200000000,334185206,24000,13000,Johnny Depp,Alan Rickman,Anne Hathaway,40000,25000,11000,79957,306336,0,1.85
Alice Through the Looking GlassÂ ,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,2016,Color,Adventure|Family|Fantasy,clock|dark fantasy|mad hatter|queen|sequel,113,English,USA,PG,218,131,James Bobin,6.4,170000000,76846624,30000,33,Johnny Depp,Alan Rickman,Anne Hathaway,40000,25000,11000,80806,21352,1,1.85
Alien UprisingÂ ,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,2012,Color,Comedy|Sci-Fi,acronym in title|period in title|title ends with period,101,English,UK,R,20,82,Dominic Burns,3.1,2500000,,0,15,Julian Glover,Sean Pertwee,Bianca Brigitte VanDamme,844,722,663,3132,2753,0,2.35
All Good ThingsÂ ,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,2010,Color,Crime|Drama|Mystery|Romance|Thriller,family business|friend|murder|new york city|trial,101,English,USA,R,140,67,Andrew Jarecki,6.3,,578382,0,46,Ryan Gosling,Kirsten Dunst,Frank Langella,33000,4000,902,39515,41249,2,1.85
All Is BrightÂ ,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,2013,Color,Comedy|Drama,christmas tree|french canadian|new york|salesman,107,English,USA,R,41,23,Phil Morrison,5.6,,4556,825,17,Sally Hawkins,Curtiss Cook,Peter Hermann,594,591,322,2020,4478,1,
